"plot"	"dbh"	"height"	"sex"	"dead"	"dbh.c"
"1"	10.29	7.9	"female"	0	-14.71
"2"	38.15	34.9	"male"	0	13.15
"1"	29.68	24	"male"	0	4.68
"1"	40.7	33.5	"male"	0	15.7
"3"	25.81	31.2	"male"	0	0.809999999999999
"3"	8.52	25.7	"male"	0	-16.48
"5"	27.3	37.2	"male"	1	2.3
"6"	30.98	36.5	"female"	0	5.98
"4"	42.97	44.8	"female"	0	17.97
"1"	12.03	20.2	"male"	0	-12.97
"1"	43.05	32.7	"male"	0	18.05
"2"	41.68	37.7	"female"	0	16.68
"4"	40.93	40.6	"male"	0	15.93
"1"	11.79	13.8	"male"	0	-13.21
"4"	15.69	30.1	"female"	0	-9.31
"1"	36.75	32.8	"male"	0	11.75
"1"	41.98	33.3	"male"	0	16.98
"1"	46.83	37.1	"female"	0	21.83
"1"	35.02	20.8	"male"	0	10.02
"2"	36.39	35.7	"female"	0	11.39
"1"	37.54	32.7	"female"	0	12.54
"1"	11.78	19.4	"male"	0	-13.22
"2"	29.04	33	"male"	0	4.04
"4"	12.44	22.5	"female"	0	-12.56
"1"	24.27	24.9	"male"	0	-0.73
"1"	27.59	23.1	"female"	0	2.59
"2"	26.09	35.2	"male"	0	1.09
"1"	19.95	21.2	"male"	0	-5.05
"10"	29.97	32	"female"	0	4.97
"1"	15.13	16.5	"female"	0	-9.87
"10"	37.71	29.3	"female"	1	12.71
"1"	32.27	21.4	"female"	0	7.27
"2"	27.72	30.4	"female"	0	2.72
"2"	22.02	32.2	"male"	0	-2.98
"5"	14.74	27.3	"female"	0	-10.26
"1"	22.13	21.8	"male"	0	-2.87
"1"	39.44	32.1	"female"	0	14.44
"8"	5.69	13.1	"female"	0	-19.31
"1"	41.71	39.1	"female"	0	16.71
"2"	17.92	27.8	"female"	0	-7.08
"5"	17.83	28.1	"female"	0	-7.17
"5"	18.81	31.3	"female"	0	-6.19
"6"	18.57	24.6	"male"	0	-6.43
"1"	37.33	27.1	"female"	0	12.33
"2"	7.56	26	"male"	0	-17.44
"1"	8.7	9.6	"male"	0	-16.3
"1"	28.23	25.9	"female"	0	3.23
"5"	22.59	34.5	"female"	0	-2.41
"2"	5.61	18.6	"male"	0	-19.39
"6"	28.8	34.7	"male"	0	3.8
"2"	6.47	19.3	"female"	0	-18.53
"1"	32.7	27.7	"male"	0	7.7
"2"	33.32	35.6	"male"	0	8.32
"1"	41.09	29.9	"female"	0	16.09
"1"	14.4	15.7	"female"	0	-10.6
"2"	32.16	30.9	"female"	0	7.16
"1"	45.72	36.5	"female"	0	20.72
"1"	44.64	30.7	"female"	0	19.64
"4"	9.27	24.8	"female"	0	-15.73
"1"	44.71	39	"female"	0	19.71
"1"	24.13	22.5	"female"	0	-0.870000000000001
"2"	48.14	45	"male"	0	23.14
"1"	40.23	33.4	"male"	0	15.23
"1"	33.61	33.8	"male"	0	8.61
"1"	30.76	27.8	"female"	0	5.76
"2"	6.6	21.9	"female"	0	-18.4
"2"	45.63	47.2	"female"	1	20.63
"4"	26.05	37.7	"female"	0	1.05
"3"	12.66	21.5	"female"	0	-12.34
"1"	42.72	37.1	"male"	0	17.72
"2"	15.91	27.6	"female"	0	-9.09
"2"	23.3	28.1	"male"	0	-1.7
"1"	49.22	43	"male"	0	24.22
"1"	12.66	20.3	"female"	0	-12.34
"6"	6.13	21.7	"male"	0	-18.87
"1"	16.67	16.8	"female"	0	-8.33
"5"	44.26	53.7	"female"	0	19.26
"4"	6.11	23.8	"male"	0	-18.89
"2"	43.62	44.8	"female"	0	18.62
"1"	40.97	32.8	"male"	0	15.97
"2"	19.24	22.5	"female"	0	-5.76
"1"	30.65	28.6	"female"	0	5.65
"8"	19.89	22	"male"	0	-5.11
"2"	5.27	23.8	"male"	0	-19.73
"1"	5.08	10.5	"female"	0	-19.92
"2"	33.33	38.8	"female"	0	8.33
"2"	5.71	17.1	"male"	0	-19.29
"1"	40.17	28.9	"male"	0	15.17
"5"	43.98	41.4	"male"	0	18.98
"2"	10.57	22.1	"male"	0	-14.43
"3"	40.77	38.5	"female"	0	15.77
"1"	41.75	34.4	"male"	0	16.75
"4"	21.09	36.4	"female"	0	-3.91
"2"	21.99	27.4	"male"	0	-3.01
"1"	8	13.3	"male"	0	-17
"3"	39.36	39.1	"male"	0	14.36
"2"	7.09	21.3	"male"	0	-17.91
"5"	10.92	27.9	"male"	0	-14.08
"2"	29.08	30.9	"male"	0	4.08
"1"	30.76	26.7	"female"	0	5.76
"4"	44.62	48.6	"female"	0	19.62
"5"	46.06	49.4	"male"	0	21.06
"1"	43.78	38.5	"female"	0	18.78
"6"	48.68	48.2	"male"	0	23.68
"6"	16.51	34.9	"male"	0	-8.49
"2"	17.59	26.2	"female"	0	-7.41
"2"	22.84	26.9	"female"	0	-2.16
"1"	29.79	24.7	"female"	0	4.79
"2"	46.01	41.4	"female"	0	21.01
"1"	15.92	18.8	"male"	0	-9.08
"2"	19.22	25.3	"female"	0	-5.78
"4"	46.75	43.4	"male"	0	21.75
"1"	28.31	29	"female"	0	3.31
"6"	46.58	49.1	"female"	0	21.58
"6"	38.34	42	"male"	0	13.34
"2"	27.84	40.9	"male"	0	2.84
"2"	34.83	33.8	"male"	0	9.83
"1"	32.02	27.5	"male"	0	7.02
"2"	33.86	29.6	"male"	0	8.86
"5"	43.68	46.8	"male"	0	18.68
"1"	13.57	11.5	"male"	0	-11.43
"3"	39.19	39.6	"female"	0	14.19
"2"	48.22	43.4	"male"	0	23.22
"1"	16.84	14.7	"male"	0	-8.16
"3"	18.19	23.7	"female"	0	-6.81
"2"	23.43	28.4	"male"	1	-1.57
"3"	8.5	19.3	"male"	0	-16.5
"1"	31.18	29.6	"male"	0	6.18
"2"	11.32	21.3	"male"	0	-13.68
"4"	16.13	32	"male"	0	-8.87
"5"	43.2	49.5	"male"	0	18.2
"2"	41.8	42.7	"female"	0	16.8
"1"	25.52	25.9	"female"	0	0.52
"5"	10.63	24.4	"female"	0	-14.37
"1"	5.94	10	"male"	0	-19.06
"10"	47.23	34.8	"female"	0	22.23
"1"	7	12	"male"	0	-18
"1"	44.18	39.2	"female"	0	19.18
"2"	30.74	34	"female"	0	5.74
"5"	11.08	27.1	"male"	0	-13.92
"2"	40.62	39	"male"	0	15.62
"1"	48.94	36.4	"male"	0	23.94
"6"	40.01	44.3	"male"	0	15.01
"4"	25.12	30.7	"male"	0	0.120000000000001
"1"	19.48	18.7	"female"	0	-5.52
"1"	47.07	37.5	"female"	0	22.07
"2"	26	28.5	"male"	0	1
"4"	26.73	39	"male"	0	1.73
"1"	30.58	28.5	"female"	0	5.58
"1"	13.4	10.8	"male"	0	-11.6
"2"	9.23	29.5	"male"	0	-15.77
"3"	45.34	44.5	"male"	0	20.34
"1"	10.42	6.6	"male"	0	-14.58
"1"	20.49	21.5	"male"	0	-4.51
"4"	49.39	47.1	"male"	0	24.39
"1"	18.58	19	"female"	0	-6.42
"10"	30.27	27.8	"female"	0	5.27
"2"	12.86	22.5	"female"	0	-12.14
"2"	40.43	37.5	"male"	0	15.43
"1"	36.08	28.3	"male"	0	11.08
"1"	45.8	33.7	"male"	1	20.8
"1"	48.49	39.7	"female"	0	23.49
"1"	29.48	22.8	"male"	0	4.48
"5"	45.08	38.2	"male"	0	20.08
"1"	30.88	26.9	"female"	0	5.88
"1"	33	28.3	"female"	1	8
"10"	22.89	21	"male"	0	-2.11
"1"	43.7	32.5	"male"	1	18.7
"5"	10.4	28.2	"male"	0	-14.6
"7"	33.46	37.8	"male"	0	8.46
"2"	8.45	21.6	"female"	0	-16.55
"7"	42.53	40.9	"female"	0	17.53
"1"	44.75	32.9	"female"	0	19.75
"1"	43.01	31.1	"male"	0	18.01
"1"	15.71	18.6	"female"	0	-9.29
"5"	7.22	25.3	"female"	0	-17.78
"3"	16.98	26.1	"male"	1	-8.02
"1"	40.19	27.3	"male"	0	15.19
"4"	45.03	44.7	"male"	0	20.03
"2"	20.67	28.7	"male"	0	-4.33
"1"	11.01	11	"female"	0	-13.99
"1"	26.6	28.1	"female"	0	1.6
"3"	27.52	28.4	"male"	0	2.52
"4"	15.55	25.5	"male"	0	-9.45
"1"	29.44	23	"male"	0	4.44
"3"	37	38.6	"male"	0	12
"1"	12.84	18.7	"female"	0	-12.16
"1"	6.48	15.9	"female"	0	-18.52
"1"	9.61	15.9	"male"	0	-15.39
"2"	7.29	18	"male"	0	-17.71
"6"	23.02	35.3	"male"	0	-1.98
"2"	5.25	15.9	"male"	0	-19.75
"2"	20.38	27.1	"female"	0	-4.62
"1"	37.67	33.4	"male"	0	12.67
"2"	30.11	34.4	"female"	0	5.11
"1"	5.71	10.9	"male"	0	-19.29
"2"	9.89	20.2	"male"	0	-15.11
"1"	27.98	27.3	"male"	0	2.98
"2"	33.43	32.3	"female"	0	8.43
"1"	46.44	41.8	"female"	0	21.44
"4"	41.53	42.6	"female"	0	16.53
"1"	49.36	34.6	"female"	0	24.36
"2"	48.82	45.4	"male"	0	23.82
"3"	27.44	31.9	"female"	0	2.44
"1"	13.37	18.4	"male"	0	-11.63
"1"	5.75	9.8	"male"	0	-19.25
"5"	41.88	46	"female"	0	16.88
"2"	34.79	34.6	"female"	0	9.79
"2"	16.2	23.2	"male"	0	-8.8
"3"	34.19	28.6	"female"	0	9.19
"7"	21.06	25.4	"male"	0	-3.94
"4"	39.71	45.9	"male"	0	14.71
"3"	44.68	44.2	"male"	0	19.68
"5"	29.46	37.6	"male"	0	4.46
"4"	33.36	37.2	"female"	1	8.36
"2"	14.14	23.3	"female"	0	-10.86
"5"	47.45	48.4	"female"	0	22.45
"1"	40.49	32	"male"	0	15.49
"1"	15.86	20.1	"male"	0	-9.14
"1"	11.61	13.4	"male"	0	-13.39
"1"	28.63	22.1	"female"	0	3.63
"1"	6.6	5.8	"male"	0	-18.4
"1"	32.77	25.5	"male"	0	7.77
"1"	24.62	17.6	"female"	0	-0.379999999999999
"1"	29.03	23.6	"male"	0	4.03
"2"	48.34	44.6	"male"	0	23.34
"10"	32.05	23.5	"male"	0	7.05
"1"	6.7	11.1	"male"	0	-18.3
"2"	49.07	46	"female"	0	24.07
"1"	26.75	23.7	"female"	1	1.75
"1"	43.16	31.9	"female"	0	18.16
"2"	28.29	34	"female"	0	3.29
"1"	39.54	29.6	"male"	0	14.54
"1"	29.63	30.7	"male"	0	4.63
"1"	40.23	35.3	"male"	0	15.23
"1"	15.06	17.4	"female"	0	-9.94
"1"	20.68	18.2	"female"	0	-4.32
"3"	38.14	39.9	"male"	0	13.14
"2"	29.62	36.6	"female"	0	4.62
"1"	13.57	15.9	"female"	0	-11.43
"4"	22.81	32.8	"female"	0	-2.19
"1"	32.34	23.2	"male"	0	7.34
"1"	33.33	21.8	"male"	0	8.33
"1"	15.3	17.9	"male"	0	-9.7
"3"	26.72	30.1	"male"	0	1.72
"1"	18.75	17.2	"female"	0	-6.25
"5"	8.52	23.1	"male"	0	-16.48
"1"	13.41	14.5	"male"	0	-11.59
"1"	11.96	13.8	"male"	0	-13.04
"6"	8.25	22.8	"male"	0	-16.75
"1"	20.58	21.7	"male"	0	-4.42
"1"	9.26	10.3	"male"	0	-15.74
"1"	43.65	39.5	"female"	0	18.65
"4"	36.7	40.1	"female"	0	11.7
"1"	26.99	26.3	"male"	0	1.99
"5"	35.95	40.3	"female"	0	10.95
"1"	9.89	16.5	"female"	0	-15.11
"2"	11.81	29.2	"male"	0	-13.19
"1"	47.14	40.3	"female"	0	22.14
"1"	48.32	36.8	"female"	0	23.32
"2"	26.47	31.1	"female"	0	1.47
"1"	19.34	22.3	"male"	0	-5.66
"2"	35.28	40.1	"female"	0	10.28
"1"	24.82	20	"male"	0	-0.18
"1"	32.66	26	"female"	0	7.66
"3"	45.88	40.3	"female"	0	20.88
"3"	26.36	30.2	"female"	0	1.36
"6"	39.03	45.3	"female"	1	14.03
"3"	25.22	25	"male"	0	0.219999999999999
"8"	12.05	15.6	"female"	0	-12.95
"1"	36.16	34.2	"female"	0	11.16
"6"	16.38	32.3	"male"	0	-8.62
"2"	33.07	37.8	"male"	0	8.07
"3"	30.73	30.3	"female"	0	5.73
"3"	21.36	29.8	"male"	0	-3.64
"2"	42.31	44.4	"female"	0	17.31
"2"	18.2	27.2	"male"	0	-6.8
"2"	48.69	41.5	"female"	0	23.69
"2"	39.28	44.3	"female"	0	14.28
"2"	49.1	41.8	"male"	0	24.1
"1"	26.87	20.4	"female"	0	1.87
"1"	11.55	15.5	"female"	0	-13.45
"5"	46.79	45.7	"female"	0	21.79
"2"	41	46.1	"male"	0	16
"6"	39.91	46.4	"male"	0	14.91
"5"	8.11	24.8	"male"	0	-16.89
"5"	21.18	27.7	"female"	0	-3.82
"9"	26.08	31.4	"male"	0	1.08
"8"	10.38	17.3	"female"	0	-14.62
"1"	35.25	30.3	"female"	0	10.25
"1"	47.63	38.2	"female"	0	22.63
"4"	22.86	35.1	"male"	0	-2.14
"2"	38.54	40.8	"female"	0	13.54
"1"	37.61	35.6	"male"	0	12.61
"1"	48.58	33.8	"male"	0	23.58
"2"	26.99	30.5	"female"	0	1.99
"6"	38.31	40.5	"female"	0	13.31
"6"	40.13	42.9	"male"	0	15.13
"5"	16.03	29.1	"female"	0	-8.97
"1"	18.38	17.2	"male"	0	-6.62
"1"	5.91	14.2	"female"	1	-19.09
"8"	35.48	29.1	"male"	0	10.48
"1"	39.28	31.4	"male"	0	14.28
"1"	45.71	32.1	"female"	0	20.71
"6"	40.1	43.3	"female"	0	15.1
"4"	24.02	34.8	"male"	0	-0.98
"1"	43.74	33.6	"female"	0	18.74
"1"	30.03	24.6	"female"	0	5.03
"2"	34.02	31.6	"male"	0	9.02
"1"	26.05	21.7	"female"	0	1.05
"1"	10.35	16	"female"	0	-14.65
"1"	48.64	36.2	"female"	0	23.64
"1"	7.39	10.7	"male"	0	-17.61
"1"	37.7	30.5	"male"	0	12.7
"2"	39.4	34.5	"male"	0	14.4
"2"	32.66	40.8	"female"	0	7.66
"8"	37.33	34.3	"male"	0	12.33
"1"	48.95	40.8	"female"	0	23.95
"4"	36.58	44.6	"male"	0	11.58
"2"	43.17	34.1	"female"	0	18.17
"1"	43.32	32.5	"female"	0	18.32
"7"	31.35	37.6	"male"	0	6.35
"6"	14.62	28.6	"female"	0	-10.38
"4"	18.68	30.2	"male"	0	-6.32
"7"	14.37	25.7	"female"	0	-10.63
"3"	30.98	38.3	"female"	0	5.98
"2"	48.72	44.3	"female"	0	23.72
"1"	30.31	24.1	"male"	0	5.31
"1"	49.27	39.8	"female"	0	24.27
"5"	20.04	30.9	"female"	0	-4.96
"2"	40.75	45.7	"female"	0	15.75
"4"	8.46	28.2	"female"	0	-16.54
"1"	39.76	34.2	"male"	0	14.76
"1"	45.95	35	"female"	0	20.95
"1"	33.92	23.7	"female"	0	8.92
"4"	17.16	27.3	"female"	0	-7.84
"4"	36.97	42.4	"female"	1	11.97
"2"	35.63	35.9	"female"	0	10.63
"2"	28.27	34.3	"female"	0	3.27
"6"	28.25	36.5	"male"	0	3.25
"1"	17	19.5	"female"	0	-8
"1"	44.67	35.1	"female"	0	19.67
"4"	40.78	43.9	"female"	1	15.78
"4"	38.57	40.8	"female"	0	13.57
"1"	7.14	13.3	"male"	0	-17.86
"6"	45.14	49.8	"female"	0	20.14
"1"	40.64	31.9	"female"	0	15.64
"2"	38.59	44.4	"male"	1	13.59
"1"	9.09	16	"female"	0	-15.91
"5"	39.35	39.3	"male"	0	14.35
"6"	10.16	23.1	"female"	0	-14.84
"2"	29.81	29.8	"female"	0	4.81
"1"	5.43	7.6	"female"	0	-19.57
"2"	38	35.9	"male"	0	13
"3"	24.97	32	"male"	0	-0.0300000000000011
"6"	18.46	31.5	"male"	0	-6.54
"1"	14.79	20.8	"male"	0	-10.21
"2"	8.19	20.1	"male"	0	-16.81
"5"	8.16	23.7	"male"	0	-16.84
"4"	31.39	40.1	"female"	0	6.39
"1"	22.39	21	"male"	0	-2.61
"5"	45.96	45.5	"male"	0	20.96
"1"	32.88	25.8	"female"	0	7.88
"1"	15.25	16.5	"male"	0	-9.75
"1"	28.11	29.5	"female"	0	3.11
"4"	32.43	41.6	"male"	0	7.43
"4"	40.48	45.5	"female"	0	15.48
"2"	8.98	19.6	"male"	0	-16.02
"2"	42.41	45.1	"male"	0	17.41
"2"	31.33	33.5	"female"	0	6.33
"1"	20.94	18.4	"female"	0	-4.06
"2"	26.83	31.2	"female"	0	1.83
"3"	5.19	16.5	"male"	0	-19.81
"5"	47.58	42.1	"female"	0	22.58
"6"	31.49	37.6	"female"	0	6.49
"1"	31.19	25.8	"male"	0	6.19
"1"	31.15	21.8	"male"	0	6.15
"5"	47.69	47.7	"female"	0	22.69
"1"	8.44	14.7	"male"	0	-16.56
"7"	38.42	37.7	"male"	0	13.42
"5"	49.85	49.3	"male"	1	24.85
"5"	45.27	45.7	"female"	0	20.27
"2"	49.71	47.7	"female"	0	24.71
"1"	30.28	21	"female"	0	5.28
"3"	26.69	34.1	"male"	0	1.69
"1"	34.94	30.5	"male"	0	9.94
"8"	33.46	30.5	"male"	0	8.46
"3"	48.13	40	"male"	0	23.13
"3"	45.99	42.3	"male"	0	20.99
"3"	7.6	23	"male"	0	-17.4
"2"	22.81	23.1	"female"	0	-2.19
"4"	41.35	44.4	"male"	0	16.35
"4"	8.85	25.9	"female"	0	-16.15
"1"	14.95	19.3	"male"	0	-10.05
"1"	14.3	13.2	"male"	0	-10.7
"2"	30.21	27.9	"female"	0	5.21
"1"	25	22.2	"male"	0	0
"1"	39.77	30.6	"male"	0	14.77
"5"	41.87	42.9	"female"	0	16.87
"2"	22.68	32.7	"male"	0	-2.32
"3"	40.74	40.9	"female"	0	15.74
"1"	27.31	23.4	"male"	0	2.31
"1"	48.18	34.8	"female"	0	23.18
"9"	29.84	35	"female"	0	4.84
"1"	15.53	13.5	"female"	0	-9.47
"3"	22.71	32.9	"female"	0	-2.29
"1"	17.39	19.8	"female"	0	-7.61
"4"	28.48	37.6	"female"	0	3.48
